,Contracts_id,Label,New_cardsex,New_amount,New_paiduprmb,Appointcnt,A,B,C,D,E,F,G,H,I,Clascnt,Diffday,Attended,Class_fee,predictLabels
423097,423098,2,2,5.0,34800.0,0,0,0,0,0,0,0,206,0,0,206,22,197,0.0059,1
423103,423104,2,0,3.0,24048.0,1,0,298,0,0,0,0,0,0,0,596,24,580,0.0247,1
423105,423106,2,2,7.0,61800.0,0,0,0,0,0,0,0,124,0,0,124,25,115,0.002,1
423106,423107,2,1,4.0,37700.0,0,0,0,0,0,0,0,0,0,0,94,25,86,0.0024,1
423107,423108,2,0,4.0,34800.0,1,0,2205,0,0,0,0,0,0,0,2646,24,2556,0.076,1
423118,423119,2,2,4.0,36800.0,0,0,0,0,0,0,0,84,0,0,84,19,75,0.0022,1
423128,423129,2,1,3.0,29800.0,3,0,933,0,0,0,0,0,0,0,3732,24,3684,0.1252,1
423131,423132,2,1,5.0,39100.0,1,0,0,0,0,0,0,0,0,0,162,22,158,0.0041,1
423132,423133,2,0,5.0,39800.0,1,0,88,0,0,0,0,0,0,0,176,17,156,0.0044,1
423142,423143,2,0,4.0,32800.0,0,0,0,0,0,0,0,73,0,0,73,21,63,0.0022,1
423149,423150,2,0,4.0,39200.0,2,0,0,0,0,0,0,0,0,0,1836,25,1818,0.0468,1
423150,423151,2,0,5.0,39800.0,1,0,0,0,169,0,0,0,0,0,169,22,158,0.0042,1
423151,423152,2,2,5.0,36600.0,1,0,0,0,0,0,0,706,0,0,1412,25,1284,0.0385,1
423152,423153,2,0,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,88,25,80,0.0022,1
423153,423154,2,0,5.0,35800.0,0,0,0,0,0,815,0,163,489,0,1467,25,1341,0.0409,1
423415,423416,2,0,5.0,34800.0,1,0,0,0,0,0,0,0,0,0,52,13,46,0.0014,1
423421,423422,2,0,3.0,34000.0,0,0,0,0,0,0,0,0,0,0,70,16,56,0.002,1
423431,423432,2,1,6.0,42600.0,0,0,0,0,0,0,0,0,0,0,138,32,134,0.0032,1
423453,423454,2,1,4.0,32800.0,0,0,0,0,0,0,0,0,0,0,33,3,31,0.001,1
423464,423465,2,2,6.0,37810.0,0,0,262,0,0,0,0,0,0,0,262,31,259,0.0069,1
423467,423468,2,1,5.0,33800.0,1,0,0,0,0,0,0,0,0,0,65,17,61,0.0019,1
423472,423473,2,0,6.0,43800.0,0,0,0,0,0,0,0,0,0,0,80,15,75,0.0018,1
423473,423474,2,2,5.0,34800.0,1,0,0,0,0,0,0,0,0,0,42,24,42,0.0012,1
423477,423478,2,1,7.0,53200.0,0,0,0,0,0,0,0,0,0,0,182,31,178,0.0034,1
423483,423484,2,0,4.0,37800.0,0,0,0,0,0,0,0,0,0,0,107,25,98,0.0028,1
423501,423502,2,1,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,121,28,107,0.003,1
423505,423506,2,0,5.0,41800.0,0,0,0,0,0,0,0,0,0,0,444,28,350,0.0106,1
423506,423507,2,1,7.0,49800.0,0,0,0,0,0,0,0,0,0,0,105,30,104,0.0021,1
423517,423518,2,0,7.0,48800.0,0,0,0,0,0,0,0,0,0,0,421,31,405,0.0086,1
423523,423524,2,2,6.0,37664.0,1,0,0,0,2560,0,0,0,0,0,2560,31,2320,0.0679,1
423526,423527,2,2,4.0,36801.0,1,0,0,0,0,0,0,0,0,0,442,31,410,0.012,1
423528,423529,2,0,5.0,42800.0,1,0,0,0,0,0,0,0,0,0,233,29,224,0.0054,1
423530,423531,2,0,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,69,20,58,0.0017,1
423537,423538,2,2,7.0,61800.0,0,0,0,0,0,0,0,0,0,0,166,31,150,0.0026,1
423543,423544,2,2,5.0,34800.0,0,0,0,0,0,0,0,0,0,0,184,27,170,0.0052,1
423556,423557,2,1,5.0,47800.0,0,0,0,0,0,0,0,0,0,0,171,31,164,0.0035,1
423566,423567,2,0,7.0,38400.0,1,0,0,0,0,1030,0,0,0,0,1648,30,1632,0.0429,1
423571,423572,2,0,6.0,44800.0,1,0,0,0,0,0,0,0,0,0,149,30,143,0.0033,1
423576,423577,2,0,4.0,33600.0,1,0,0,0,154,0,0,0,0,0,154,30,136,0.0045,1
423578,423579,2,2,5.0,38700.0,0,0,0,0,0,0,0,0,0,0,166,30,159,0.0042,1
423582,423583,2,2,6.0,33924.0,0,0,0,0,0,0,0,0,0,0,155,29,154,0.0045,1
423583,423584,2,2,4.0,36800.0,0,0,0,0,0,0,0,0,0,0,96,30,86,0.0026,1
423591,423592,2,1,5.0,26333.0,0,0,0,0,0,0,0,0,0,0,212,30,199,0.008,1
423594,423595,2,1,4.0,37800.0,1,0,0,0,0,0,0,0,0,414,690,30,660,0.0182,1
423601,423602,2,0,4.0,38900.0,1,0,0,0,83,0,0,0,0,0,166,29,164,0.0042,1
423612,423613,2,1,5.0,42800.0,0,0,0,0,0,0,0,0,0,0,163,30,160,0.0038,1
423619,423620,2,2,3.0,35100.0,0,0,0,0,196,588,0,0,294,0,1372,30,1316,0.039,1
423635,423636,2,0,3.0,26800.0,1,0,0,0,0,158,0,0,0,0,316,27,282,0.0117,1
423636,423637,2,0,5.0,44000.0,1,0,0,0,0,0,0,0,0,4968,4968,30,4720,0.1129,1
423640,423641,2,0,8.0,51600.0,0,0,0,0,0,0,0,0,0,0,129,27,127,0.0025,1
423645,423646,2,1,4.0,32200.0,0,0,0,0,0,0,0,0,0,0,149,30,149,0.0046,1
423648,423649,2,1,4.0,34800.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1
423649,423650,2,0,5.0,39800.0,0,0,0,0,320,4480,0,0,480,0,5920,29,5291,0.1487,1
423652,423653,2,0,5.0,40800.0,0,0,0,0,0,0,0,0,0,0,146,30,130,0.0035,1
423654,423655,2,0,5.0,38800.0,0,0,0,0,0,0,0,0,0,0,16,23,12,0.0004,1
423657,423658,2,1,6.0,42800.0,1,0,0,0,0,0,0,0,0,0,91,29,81,0.0021,1
423663,423664,2,1,4.0,35800.0,1,0,0,0,0,0,0,0,0,0,60,27,50,0.0016,1
423668,423669,2,0,5.0,35800.0,0,0,0,0,0,0,0,0,0,0,224,28,208,0.0062,1
423670,423671,2,1,4.0,36600.0,1,0,0,0,0,0,0,0,0,0,246,30,204,0.0067,1
423673,423674,2,1,4.0,22333.0,0,0,0,0,0,0,0,0,0,0,229,25,222,0.0102,1
423680,423681,2,1,5.0,34800.0,1,0,0,0,0,0,0,0,0,0,358,29,352,0.0102,1
423681,423682,2,2,5.0,44800.0,1,0,0,0,143,0,0,0,0,0,143,29,130,0.0031,1
423685,423686,2,1,4.0,24336.0,0,0,0,0,0,0,0,0,0,0,148,29,131,0.006,1
423690,423691,2,0,6.0,49800.0,0,0,0,0,0,0,0,0,0,0,208,29,197,0.0041,1
423692,423693,2,0,4.0,35300.0,0,0,0,0,0,0,0,0,0,0,724,27,708,0.0205,1
423701,423702,2,1,5.0,38800.0,1,0,0,0,0,0,0,0,0,0,12,11,12,0.0003,1
423719,423720,2,0,5.0,39800.0,3,0,0,0,0,0,0,0,0,864,864,27,780,0.0217,1
423720,423721,2,1,4.0,37800.0,0,0,0,0,0,0,0,0,0,0,106,29,105,0.0028,1
423723,423724,2,1,4.0,32800.0,2,0,0,0,0,0,0,0,0,0,114,26,106,0.0034,1
423725,423726,2,0,8.0,41800.0,0,0,0,0,0,0,0,0,0,0,292,29,283,0.0069,1
423730,423731,2,1,6.0,42800.0,1,0,0,0,0,0,0,0,0,0,348,29,338,0.0081,1
423738,423739,2,0,4.0,34800.0,1,0,0,0,0,0,0,0,0,0,258,19,202,0.0074,1
423741,423742,2,0,4.0,31800.0,0,0,75,0,0,0,0,0,0,0,375,10,315,0.0117,1
423744,423745,2,2,4.0,35800.0,2,0,0,0,0,0,0,0,0,0,22,16,18,0.0006,1
423745,423746,2,2,5.0,28600.0,0,0,0,0,190,0,0,0,0,0,190,29,183,0.0066,1
423747,423748,2,0,5.0,39800.0,2,0,448,0,0,0,0,0,0,0,3584,28,3216,0.09,1
423748,423749,2,0,5.0,48000.0,0,0,0,0,0,0,0,0,0,0,126,27,122,0.0026,1
423753,423754,2,1,2.0,18704.0,1,0,0,0,0,0,0,0,0,0,85,27,72,0.0045,1
423755,423756,2,0,5.0,39800.0,5,0,0,0,0,0,0,0,0,0,465,29,425,0.0116,1
423759,423760,2,0,5.0,35800.0,1,0,0,0,0,0,0,0,0,0,187,29,182,0.0052,1
423767,423768,2,0,5.0,36800.0,0,0,290,0,0,0,0,0,0,0,580,19,532,0.0157,1
423769,423770,2,0,3.0,35800.0,0,0,0,0,0,0,0,0,0,0,88,28,80,0.0024,1
423770,423771,2,2,6.0,43800.0,1,0,0,0,0,0,0,0,0,0,150,28,142,0.0034,1
423776,423777,2,2,6.0,42600.0,2,0,226,0,0,0,0,0,0,0,226,22,208,0.0053,1
423782,423783,2,0,4.0,31800.0,0,0,0,0,0,0,0,0,0,0,154,28,149,0.0048,1
423790,423791,2,1,5.0,40800.0,1,0,470,0,0,0,0,0,0,0,1410,29,1302,0.0345,1
423792,423793,2,2,5.0,37000.0,1,0,0,0,0,0,0,0,0,0,30,22,26,0.0008,1
423797,423798,2,2,8.0,56800.0,0,0,0,0,0,0,0,0,0,0,265,28,251,0.0046,1
423799,423800,2,0,5.0,36800.0,0,0,0,0,0,0,0,0,0,0,166,25,146,0.0045,1
423803,423804,2,2,5.0,37800.0,1,0,0,0,0,101,0,0,0,0,606,29,582,0.016,1
423805,423806,2,2,4.0,33200.0,1,0,0,0,0,0,0,0,0,0,122,25,117,0.0036,1
423806,423807,2,0,3.0,32400.0,1,0,0,0,0,0,0,0,0,0,119,28,115,0.0036,1
423808,423809,2,0,4.0,34800.0,1,0,0,0,0,0,0,0,0,0,245,27,211,0.006999999999999999,1
423809,423810,2,0,4.0,34400.0,3,0,0,0,375,0,0,0,0,375,750,26,690,0.0218,1
423813,423814,2,1,5.0,36800.0,1,0,0,0,0,0,0,0,0,0,521,28,471,0.0141,1
423815,423816,2,0,4.0,34800.0,1,0,0,0,156,0,0,0,0,0,156,27,144,0.0044,1
423818,423819,2,0,6.0,48000.0,1,0,0,0,0,0,0,0,0,0,222,28,204,0.0046,1
423821,423822,2,0,4.0,32000.0,3,0,0,0,0,0,0,0,0,0,387,28,345,0.012,1
423822,423823,2,1,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,33,12,26,0.0008,1
423827,423828,2,0,5.0,42800.0,0,0,0,0,0,0,0,0,0,0,155,24,155,0.0036,1
423828,423829,2,0,5.0,38800.0,0,0,399,0,399,399,0,0,0,0,1197,28,1089,0.0308,1
423831,423832,2,0,4.0,37800.0,0,0,0,0,0,0,0,0,0,0,96,28,74,0.0025,1
423840,423841,2,1,7.0,49420.0,0,0,0,0,0,0,0,0,0,0,99,25,95,0.002,1
423845,423846,2,0,5.0,35800.0,0,0,0,0,0,0,0,0,0,0,59,28,44,0.0016,1
423850,423851,2,2,5.0,38800.0,1,0,0,0,153,153,0,0,0,0,612,26,560,0.0157,1
423853,423854,2,0,4.0,35800.0,1,0,0,0,0,0,0,0,0,474,474,23,459,0.0132,1
423859,423860,2,1,7.0,58800.0,1,0,0,0,0,0,0,0,0,0,220,28,196,0.0037,1
423863,423864,2,0,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,362,25,332,0.009000000000000001,1
423864,423865,2,0,4.0,34800.0,1,0,0,0,190,0,0,0,0,0,190,28,140,0.0054,1
423870,423871,2,0,4.0,34800.0,1,0,0,0,0,0,0,0,0,0,147,26,106,0.0042,1
423872,423873,2,0,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,190,26,169,0.0047,1
423885,423886,2,2,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,212,26,208,0.0053,1
423891,423892,2,0,4.0,34800.0,1,0,0,0,149,0,0,0,0,0,298,27,248,0.0085,1
423902,423903,2,0,4.0,36000.0,1,0,0,0,0,0,0,0,0,0,145,27,140,0.004,1
423904,423905,2,0,4.0,34800.0,1,0,0,0,0,0,0,0,0,273,819,28,699,0.0235,1
423905,423906,2,0,3.0,29800.0,1,0,0,0,0,0,0,0,0,0,65,14,58,0.0021,1
423912,423913,2,0,4.0,31800.0,1,0,0,0,0,0,0,0,0,0,132,28,128,0.0041,1
423918,423919,2,2,3.0,27000.0,1,0,360,0,0,72,0,0,0,0,720,7,600,0.0266,1
423920,423921,2,0,4.0,31800.0,1,0,0,0,0,0,0,0,0,0,356,22,212,0.0111,1
423922,423923,2,2,3.0,31400.0,0,0,0,0,0,0,0,0,0,0,20,27,17,0.0006,1
423924,423925,2,0,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,100,25,86,0.0025,1
423925,423926,2,0,5.0,39800.0,1,0,0,0,0,0,0,0,0,8,8,8,6,0.0002,1
423927,423928,2,0,6.0,47800.0,2,0,0,0,0,0,0,0,0,0,1568,27,1398,0.0328,1
423931,423932,2,1,3.0,31600.0,1,0,0,0,0,0,0,0,0,0,470,27,460,0.0148,1
423932,423933,2,0,5.0,40800.0,1,0,0,0,0,0,0,0,0,0,960,27,904,0.0235,1
423940,423941,2,1,5.0,40800.0,0,0,0,0,0,0,0,0,0,0,150,27,137,0.0036,1
423942,423943,2,0,6.0,47320.0,2,0,122,0,0,0,0,0,0,0,366,20,288,0.0077,1
423944,423945,2,1,6.0,46800.0,2,0,0,0,0,0,0,0,0,0,376,27,364,0.008,1
423948,423949,2,2,5.0,36300.0,0,0,0,0,0,0,0,0,0,0,222,26,222,0.0061,1
423951,423952,2,2,4.0,31600.0,0,0,0,0,51,0,0,0,0,0,51,25,47,0.0016,1
423954,423955,2,0,4.0,31300.0,0,0,0,0,626,0,0,0,0,0,3130,27,3030,0.1,1
423957,423958,2,0,4.0,34800.0,0,0,0,0,186,0,0,0,0,0,186,19,147,0.0053,1
423964,423965,2,0,5.0,38300.0,0,0,0,0,0,0,0,0,0,0,182,24,180,0.0047,1
423972,423973,2,1,4.0,34800.0,1,0,0,0,0,0,0,0,0,0,130,27,122,0.0037,1
423976,423977,2,0,5.0,33000.0,1,0,0,0,0,0,0,0,0,0,170,27,166,0.0051,1
423981,423982,2,0,4.0,31300.0,1,0,0,0,79,0,0,0,0,0,158,15,88,0.005,1
423982,423983,2,0,4.0,38400.0,0,0,0,0,0,0,0,0,0,0,127,16,125,0.0033,1
423989,423990,2,1,4.0,32000.0,0,0,0,0,0,0,0,0,0,0,153,26,152,0.0047,1
423991,423992,2,0,6.0,42800.0,1,0,0,0,0,0,0,0,0,0,84,17,78,0.0019,1
423997,423998,2,0,6.0,112800.0,0,0,0,0,0,0,0,0,275,0,275,11,270,0.0024,1
424007,424008,2,1,4.0,34800.0,0,0,0,0,0,0,0,0,0,0,114,20,93,0.0032,1
424010,424011,2,0,5.0,39800.0,1,0,0,0,384,0,0,0,0,0,480,24,385,0.012,1
424013,424014,2,0,5.0,38800.0,1,0,0,0,0,0,0,0,0,0,146,14,126,0.0037,1
424014,424015,2,0,4.0,31800.0,0,0,0,0,0,0,0,324,324,0,648,27,610,0.0203,1
424016,424017,2,0,4.0,34400.0,0,0,202,0,0,0,0,202,0,0,404,27,382,0.0117,1
424017,424018,2,0,4.0,33800.0,1,0,0,0,0,0,0,164,0,0,328,23,320,0.0097,1
424020,424021,2,2,0.0,36800.0,0,0,1340,0,0,0,0,335,0,0,1675,25,1530,0.0455,1
424023,424024,2,2,3.0,30800.0,1,0,0,0,0,0,0,0,0,0,31,23,25,0.001,1
424027,424028,2,1,7.0,39040.0,3,0,0,0,0,0,0,0,0,0,2232,26,2166,0.0571,1
424031,424032,2,1,5.0,33300.0,1,0,0,0,0,0,0,0,0,0,103,27,102,0.003,1
424032,424033,2,2,4.0,31800.0,0,0,0,0,0,0,0,0,0,0,35,7,30,0.0011,1
424034,424035,2,0,6.0,42800.0,0,0,0,0,0,0,0,0,0,0,14,4,13,0.0003,1
424035,424036,2,0,8.0,86800.0,2,0,0,0,416,0,0,0,0,0,624,26,606,0.0071,1
424036,424037,2,0,4.0,39800.0,3,0,0,0,378,0,0,378,0,1512,2268,26,2088,0.0569,1
424037,424038,2,1,7.0,52800.0,1,0,0,0,238,2142,0,0,238,0,3094,26,2951,0.0585,1
424038,424039,2,2,6.0,40120.0,1,0,226,0,0,0,0,0,0,226,678,26,651,0.0168,1
424039,424040,2,2,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,654,24,534,0.0164,1
424040,424041,2,2,5.0,40800.0,1,0,72,0,0,0,0,0,0,0,72,24,72,0.0017,1
424043,424044,2,0,3.0,25800.0,0,0,0,0,63,0,0,63,0,0,126,27,124,0.0048,1
424045,424046,2,2,5.0,36800.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0.0,1
424048,424049,2,2,3.0,25600.0,1,0,0,0,0,0,0,0,0,22,22,6,20,0.0008,1
424051,424052,2,0,5.0,32980.0,1,0,0,0,0,0,0,0,0,0,84,20,84,0.0025,1
424052,424053,2,1,4.0,36600.0,2,0,0,0,292,0,0,0,0,0,292,26,260,0.0079,1
424053,424054,2,0,4.0,36800.0,0,0,0,0,0,0,0,0,0,0,240,26,211,0.0065,1
424054,424055,2,0,4.0,34800.0,1,0,72,0,0,0,0,0,0,24,96,7,80,0.0027,1
424058,424059,2,2,5.0,42800.0,0,0,0,0,0,0,0,0,0,0,45,25,43,0.001,1
424060,424061,2,0,4.0,28800.0,0,0,0,0,0,0,0,149,0,0,149,23,136,0.0051,1
424061,424062,2,0,4.0,31800.0,0,0,0,0,0,0,0,99,99,0,198,23,194,0.0062,1
424069,424070,2,1,6.0,48900.0,1,0,0,0,0,476,0,0,0,0,4284,22,4140,0.0876,1
424080,424081,2,0,5.0,35800.0,0,0,0,0,0,0,0,74,0,0,74,24,65,0.002,1
424081,424082,2,0,3.0,24800.0,0,0,0,0,0,0,0,122,0,0,244,25,232,0.0098,1
424083,424084,2,2,6.0,45800.0,0,0,352,0,0,0,0,0,0,0,1408,24,1216,0.0307,1
424090,424091,2,0,4.0,33000.0,1,0,0,0,0,0,0,0,0,0,264,25,248,0.008,1
424092,424093,2,0,3.0,31800.0,0,0,183,0,0,0,0,61,0,0,244,25,200,0.0076,1
424094,424095,2,1,3.0,35500.0,0,0,0,0,0,0,0,0,0,0,260,25,250,0.0073,1
424097,424098,2,2,6.0,49800.0,1,0,0,0,408,0,0,0,0,0,612,24,603,0.0122,1
424104,424105,2,0,4.0,39800.0,2,0,0,0,0,0,0,0,0,0,3048,26,2964,0.0765,1
424244,424245,2,2,3.0,25800.0,0,0,0,0,0,0,0,0,0,0,160,31,152,0.0062,1
424250,424251,2,0,6.0,48000.0,1,0,0,0,0,0,0,0,171,0,171,32,165,0.0035,1
424258,424259,2,1,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,20,2,18,0.0005,1
424263,424264,2,2,7.0,43920.0,0,0,0,0,311,0,0,0,0,0,311,30,305,0.006999999999999999,1
424264,424265,2,2,6.0,37000.0,2,0,0,0,0,0,0,0,0,0,382,31,372,0.0103,1
424266,424267,2,0,4.0,37200.0,1,0,0,0,0,0,0,0,0,144,288,29,282,0.0077,1
424279,424280,2,1,6.0,40000.0,0,0,0,0,0,0,0,0,0,0,250,31,246,0.0062,1
424300,424301,2,0,3.0,28000.0,0,0,0,0,0,0,0,0,0,0,192,31,164,0.0068,1
424316,424317,2,0,6.0,41800.0,0,0,0,0,0,0,0,0,0,0,189,31,168,0.0045,1
424323,424324,2,0,5.0,32800.0,0,0,0,0,0,0,0,0,0,0,90,24,85,0.0027,1
424328,424329,2,0,3.0,33200.0,3,0,0,0,60,0,0,0,0,0,60,22,54,0.0018,1
424330,424331,2,2,6.0,38520.0,0,0,0,0,0,0,0,0,0,0,180,28,175,0.0046,1
424333,424334,2,0,5.0,35800.0,0,0,0,0,0,0,0,0,0,0,180,25,150,0.005,1
424337,424338,2,0,4.0,34800.0,1,0,0,0,0,0,0,0,0,0,360,27,357,0.0103,1
424341,424342,2,0,5.0,40000.0,2,0,0,0,0,0,0,0,0,0,274,31,264,0.0068,1
424371,424372,2,0,6.0,47001.0,0,0,0,0,0,0,0,0,0,0,159,31,154,0.0033,1
424375,424376,2,0,5.0,36800.0,3,0,0,0,0,0,0,0,0,1212,1818,23,1728,0.0494,1
424383,424384,2,1,5.0,36800.0,4,0,0,0,0,0,0,0,0,992,992,30,888,0.0269,1
424389,424390,2,1,6.0,45800.0,0,0,0,0,0,0,0,0,0,0,165,31,160,0.0036,1
424391,424392,2,1,6.0,38800.0,0,0,0,0,0,0,0,0,0,0,199,30,197,0.0051,1
424392,424393,2,2,4.0,32900.0,1,0,0,0,0,474,0,0,158,0,3160,30,2840,0.096,1
424397,424398,2,0,5.0,38800.0,1,0,0,0,0,0,0,0,0,0,100,26,90,0.0025,1
424401,424402,2,0,3.0,37000.0,1,0,0,0,127,0,0,0,0,0,254,30,242,0.0068,1
424402,424403,2,0,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,42,8,33,0.001,1
424404,424405,2,0,6.0,42800.0,2,0,0,0,0,0,0,0,0,0,168,16,168,0.0039,1
424410,424411,2,0,8.0,57800.0,1,0,0,0,0,0,0,0,0,0,294,26,270,0.005,1
424413,424414,2,1,4.0,29800.0,0,0,0,0,0,0,0,0,0,0,122,30,116,0.004,1
424415,424416,2,0,6.0,46800.0,1,0,0,0,0,0,0,0,0,0,657,30,504,0.013999999999999999,1
424419,424420,2,1,5.0,34800.0,0,0,0,0,0,0,0,0,0,0,19,11,13,0.0005,1
424426,424427,2,2,5.0,37000.0,0,0,0,0,0,0,0,0,0,0,138,26,127,0.0037,1
424427,424428,2,0,3.0,35800.0,0,0,536,0,0,0,0,0,0,0,536,14,472,0.0149,1
424428,424429,2,1,7.0,51800.0,0,0,0,0,0,0,0,0,0,0,594,30,562,0.0114,1
424429,424430,2,1,5.0,100800.0,1,0,0,0,16,0,0,0,0,0,16,26,16,0.0001,1
424436,424437,2,1,5.0,39800.0,2,0,0,0,14,0,0,0,0,0,14,6,12,0.0003,1
424445,424446,2,1,5.0,18400.0,1,0,0,0,573,0,0,0,0,0,1719,30,1671,0.0934,1
424449,424450,2,0,4.0,34800.0,1,0,0,0,63,0,0,0,0,0,126,27,102,0.0036,1
424451,424452,2,1,5.0,34800.0,1,0,1,0,0,0,0,0,0,0,1,0,1,0.0,1
424456,424457,2,2,5.0,35800.0,1,0,721,0,0,0,0,0,721,0,1442,29,1410,0.0402,1
424462,424463,2,1,6.0,35320.0,0,0,0,0,0,0,0,0,0,0,296,23,268,0.0083,1
424466,424467,2,2,5.0,36800.0,0,0,0,0,0,0,0,0,0,0,127,26,118,0.0034,1
424467,424468,2,0,4.0,38800.0,2,0,0,0,0,0,0,0,0,0,284,11,272,0.0073,1
424469,424470,2,0,6.0,46800.0,1,0,0,0,182,0,0,0,0,0,364,23,316,0.0077,1
424473,424474,2,2,7.0,53800.0,3,0,1938,0,0,1938,0,0,0,0,9690,30,8760,0.1801,1
424482,424483,2,0,5.0,43600.0,2,0,0,0,184,0,0,0,0,0,368,28,356,0.0084,1
424483,424484,2,2,3.0,34600.0,0,0,0,0,0,0,0,0,0,0,227,30,182,0.0065,1
424487,424488,2,0,5.0,40400.0,0,0,0,0,0,0,0,0,0,0,177,30,169,0.0043,1
424497,424498,2,0,5.0,38300.0,1,0,0,0,395,0,0,0,0,0,395,29,386,0.0103,1
424499,424500,2,0,5.0,36600.0,1,0,0,0,0,0,0,0,0,230,230,30,216,0.0062,1
424506,424507,2,1,4.0,28620.0,1,0,0,0,0,0,0,0,0,0,589,30,525,0.0205,1
424507,424508,2,0,4.0,36800.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,1
424511,424512,2,0,5.0,39800.0,5,0,435,0,0,0,0,0,0,0,870,25,730,0.0218,1
424520,424521,2,1,4.0,35800.0,0,0,0,0,0,0,0,0,0,0,143,28,121,0.0039,1
424539,424540,2,2,7.0,45020.0,1,0,0,0,0,0,0,0,0,0,355,29,355,0.0078,1
424542,424543,2,0,3.0,35200.0,0,0,0,0,64,64,0,0,0,0,256,28,240,0.0072,1
424543,424544,2,2,5.0,38800.0,1,0,0,0,0,0,0,0,0,0,208,30,203,0.0053,1
424545,424546,2,1,4.0,34800.0,1,0,64,0,0,0,0,0,0,0,64,18,46,0.0018,1
424550,424551,2,2,6.0,43000.0,0,0,0,0,0,0,0,0,0,0,182,30,172,0.0042,1
424551,424552,2,2,7.0,61800.0,0,0,0,0,0,0,0,0,0,0,93,30,88,0.0015,1
424560,424561,2,1,5.0,37500.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,1
424561,424562,2,1,5.0,38800.0,0,0,0,0,0,0,0,0,0,0,81,22,78,0.002,1
424567,424568,2,1,4.0,0.0,0,0,0,0,0,0,0,0,0,0,18,2,16,0.0,1
424568,424569,2,0,5.0,38800.0,0,0,0,0,0,0,0,0,0,0,168,29,162,0.0043,1
424570,424571,2,1,4.0,33060.0,0,0,0,0,0,0,0,0,0,0,149,22,138,0.0045,1
424574,424575,2,1,5.0,35800.0,2,0,0,0,0,0,0,0,0,184,368,29,312,0.0102,1
424576,424577,2,0,5.0,39800.0,1,0,0,0,0,0,0,0,0,0,134,25,124,0.0033,1
424577,424578,2,2,3.0,31200.0,0,0,0,0,0,0,0,0,0,0,10,13,9,0.0003,1
424579,424580,2,0,5.0,35800.0,0,0,0,0,0,0,0,0,0,0,30,21,23,0.0008,1
424583,424584,2,0,4.0,36600.0,3,0,0,0,0,0,0,0,0,768,1536,28,1260,0.0419,1
424587,424588,2,2,2.0,32800.0,1,0,0,0,0,0,0,0,38,0,76,22,76,0.0023,1
424588,424589,2,0,4.0,33800.0,3,0,0,0,162,0,0,0,0,81,243,5,234,0.0071,1
424592,424593,2,0,4.0,32800.0,0,0,0,0,0,0,0,0,0,0,95,29,82,0.0028,1
424593,424594,2,0,4.0,32800.0,0,0,0,0,0,0,0,0,0,0,183,29,168,0.0055,1
424596,424597,2,0,5.0,37600.0,0,0,0,0,0,0,0,0,0,0,83,19,83,0.0022,1
424601,424602,2,1,5.0,35800.0,1,0,0,0,0,0,0,0,0,0,49,20,45,0.0013,1
424602,424603,2,0,4.0,40400.0,1,0,0,0,0,0,0,0,0,0,100,29,82,0.0024,1
424603,424604,2,0,4.0,37200.0,1,0,0,0,0,0,0,0,0,0,150,29,124,0.004,1
424607,424608,2,0,5.0,35800.0,1,0,0,0,0,0,0,0,0,0,114,21,99,0.0031,1
424608,424609,2,0,7.0,77000.0,1,0,0,0,0,0,0,0,0,0,129,29,122,0.0016,1
424613,424614,2,0,6.0,44800.0,0,0,0,0,0,0,0,0,0,0,164,27,161,0.0036,1
424626,424627,2,2,5.0,34800.0,2,0,0,0,0,0,0,0,0,68,68,10,56,0.0019,1
424632,424633,2,0,5.0,38800.0,2,0,0,0,0,0,0,0,0,0,224,29,204,0.0057,1
424633,424634,2,0,5.0,35800.0,1,0,0,0,0,0,0,0,0,0,126,23,100,0.0035,1
424636,424637,2,2,6.0,42600.0,1,0,0,0,0,0,0,0,0,0,26,20,23,0.0006,1
424637,424638,2,0,5.0,37800.0,1,0,0,0,0,0,0,0,0,170,170,28,145,0.0044,1
424639,424640,2,0,2.0,32800.0,1,0,0,0,0,0,0,0,0,0,8,27,8,0.0002,1
424641,424642,2,1,5.0,35800.0,1,0,0,0,0,0,0,0,0,0,4,17,3,0.0001,1
424644,424645,2,0,5.0,39800.0,0,0,0,0,0,0,0,0,0,0,76,25,48,0.0019,1
424645,424646,2,0,6.0,46800.0,1,0,0,0,19,0,0,0,0,0,38,21,34,0.0008,1
424649,424650,2,2,4.0,32000.0,0,0,0,0,0,0,0,0,0,0,176,28,170,0.0055,1
